,name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5,Polaroid Love,DIMENSION : ANSWER,ENHYPEN,2022-01-10,81,5elW2CKSoqjYoJ32AGDxf1,0.738,0.67,7,-3.766,0,0.0439,0.458,0.0,0.361,0.651,138.055,184602,4
6,MONEY,LALISA,LISA,2021-09-10,81,7hU3IHwjX150XLoTVmjD0q,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228,4
7,Blue Hour,minisode1 : Blue Hour,TOMORROW X TOGETHER,2020-10-26,50,0JQHGu03YJikcND4SENdiW,0.71,0.82,3,-4.362,0,0.0836,0.00962,0.0,0.0871,0.746,112.005,209105,4
8,BOOMBAYAH,SQUARE ONE,BLACKPINK,2016-08-08,74,13MF2TYuyfITClL1R2ei6e,0.661,0.836,5,-3.164,0,0.059,0.00268,0.0,0.497,0.396,124.952,240793,4
9,Alcohol-Free,Alcohol-Free,TWICE,2021-06-09,56,3iPbmpKBMflYd7UjdYftoj,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,210573,4
10,After School,We play,Weeekly,2021-03-17,73,52CBUrIdyf8tbZaUY9iawE,0.634,0.928,1,-1.609,1,0.0514,0.00719,2.55e-06,0.0626,0.738,164.007,205373,4
11,Butterfly,The Most Beautiful Moment in Life Pt.2,BTS,2015-11-30,70,3bjg5cbmuwDoS7e2dAWyRG,0.461,0.776,6,-4.498,1,0.0565,0.0149,0.0,0.12,0.291,149.985,238862,4
12,WA DA DA,FIRST IMPACT,Kep1er,2022-01-03,70,0hQNbQKW2dDATH1ngj4TI6,0.785,0.907,10,-2.657,1,0.0938,0.00122,3.11e-06,0.213,0.685,126.004,183693,4
13,Not Shy,Not Shy,ITZY,2020-08-17,54,3LL2Bw533l1dWZAamY9rR3,0.776,0.911,2,-3.08,0,0.131,0.155,2.59e-06,0.268,0.56,101.027,177728,4
14,Drunk-Dazed,BORDER : CARNIVAL,ENHYPEN,2021-04-26,74,1wcr8DjnN59Awev8nnKpQ4,0.599,0.869,5,-5.174,0,0.0618,0.000707,0.0,0.0911,0.453,132.889,193260,4
15,MORE,MORE,K/DA,2020-10-28,71,6juLaduD4STCUDWT0AYun4,0.66,0.787,1,-4.592,0,0.032,0.00257,0.0,0.323,0.199,142.018,217088,4
16,Spring Day,You Never Walk Alone,BTS,2017-02-13,75,2j1fFjWHCI9KJSwcuYAOyF,0.539,0.846,8,-3.192,1,0.0354,0.00631,1.71e-06,0.13,0.462,106.994,274097,4
17,Heart Attack (츄),Chuu,LOONA,2017-12-28,65,6SSC9KZQaxBdyipKRigrFC,0.663,0.857,7,-3.457,1,0.0581,0.0524,0.0,0.591,0.75,99.014,194941,4
18,What is Love?,Summer Nights,TWICE,2018-07-09,58,5Ek40FyMPprcvtyZDjqylX,0.573,0.91,8,-1.578,1,0.064,0.0846,0.0,0.266,0.602,169.982,208238,4
19,MANIAC,ODDINARY,Stray Kids,2022-03-18,60,7BDHDiidJ8WV349p3HTxTV,0.744,0.8,1,-2.63,1,0.266,0.181,0.0,0.0746,0.722,89.925,182758,4
20,ZOOM,ZOOM,Jessi,2022-04-13,77,4IaxDf2FixiQXq0mW7key9,0.874,0.6,6,-6.064,1,0.158,0.00942,0.0,0.126,0.457,100.012,174840,4
21,I Am The Best,I Am The Best,2NE1,2014-12-09,67,26EM9sZnQkLLQxixGd88KE,0.819,0.844,0,-3.739,1,0.038,0.00767,0.00834,0.056,0.687,127.997,208731,4
22,Don't Wanna Cry,SEVENTEEN 4th Mini Album ‘Al1’,SEVENTEEN,2017-05-22,67,6Upu6yjkdi0DVI8E3IBZEU,0.781,0.683,0,-4.258,1,0.0325,0.164,1.53e-06,0.16,0.722,100.005,203427,4
23,Anti-Romantic,The Chaos Chapter: FREEZE,TOMORROW X TOGETHER,2021-05-31,73,44tTqUi3xi7E28QLzHVdUA,0.641,0.489,0,-8.668,0,0.11,0.0509,0.0,0.071,0.206,142.977,215188,4
24,Like,2 Cool 4 Skool,BTS,2013-06-12,74,55Ctj6nVfobn9AcPe6sLG2,0.737,0.723,0,-4.165,0,0.0705,0.303,0.0,0.26,0.783,100.939,231893,4
25,Who (feat. BTS),~how i'm feeling~,Lauv,2020-03-06,75,2qG81jL9UIP54uS8gYyP4k,0.632,0.339,11,-7.983,0,0.0337,0.546,0.0,0.104,0.0969,141.642,180413,3
26,Next Level,Next Level,aespa,2021-05-17,76,2zrhoHlFKxFTRF5aMyxMoQ,0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036,221573,4
27,Go Big or Go Home,DIMENSION : DILEMMA,ENHYPEN,2021-10-12,67,6IqKFke4ZhKbGYULllEezY,0.766,0.844,10,-3.993,0,0.0575,0.0502,0.0,0.269,0.823,122.019,201707,4
28,Queendom,Queendom - The 6th Mini Album,Red Velvet,2021-08-16,72,6SpPr7K4YQ2wp8jU6uOTmQ,0.695,0.896,5,-1.24,1,0.0847,0.179,0.0,0.0626,0.508,119.959,181760,4
29,Charmer,ODDINARY,Stray Kids,2022-03-18,48,5PyqnR2KX6a6qwf6l9rgpj,0.787,0.765,8,-2.503,0,0.0573,0.0557,1.11e-05,0.0972,0.711,91.006,188573,4
30,Love Shot,LOVE SHOT– The 5th Album Repackage,EXO,2018-12-13,73,0yB4jrSwN0bFtFRDR5vyMj,0.689,0.678,5,-4.287,0,0.119,0.0702,0.0,0.0889,0.335,145.883,200306,4
31,The Feels,Formula of Love: O+T=<3,TWICE,2021-11-12,67,1qE8DOtw7zdXHMgZm20eLM,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,198053,4
32,Kill This Love,KILL THIS LOVE,BLACKPINK,2019-04-05,73,6hvczQ05jc1yGlp9zhb95V,0.763,0.835,2,-5.234,0,0.191,0.323,0.00221,0.225,0.645,131.875,191050,4
33,ASAP,STAYDOM,STAYC,2021-04-08,70,5BXr7hYZQOeRttkeWYTq5S,0.764,0.802,0,-4.217,1,0.0351,0.102,0.0,0.189,0.323,132.02,194080,4
34,dimple,Love Yourself 承 'Her',BTS,2017-09-18,72,6pp6xf9zS55GD4nr318XUH,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,196776,4
35,Nillili Mambo,BLOCKBUSTER,Block B,2012-10-17,63,4fZYGHiRcKxwVSnF498uaE,0.756,0.837,2,-2.711,0,0.0524,0.0131,0.0,0.0943,0.537,109.937,205280,4
